ccp,HS_GPA,medianIncome,TERM_GPA,Early_alert,Persist,Retained,Scholarship Level_1.0,Scholarship Level_2.0,Scholarship Level_3.0,Scholarship Level_4.0,Scholarship Level_5.0,SEX_M,OBOR_RANK_JR,OBOR_RANK_NU,OBOR_RANK_SO,OBOR_RANK_SR,LIVING_CODE_OTHER
0.0,3.4,70128.0,4.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.0,2.719,152775.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
71.0,3.955,68199.0,4.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
70.0,4.14,63775.0,4.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
67.0,4.319,68043.0,4.0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
43.0,4.293,61116.0,3.88,0,1,1,1,0,0,0,0,1,0,0,1,0,0
45.0,4.19,64638.0,4.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
81.0,4.2,70314.0,4.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
63.0,4.146,63272.0,3.69,0,1,1,1,0,0,0,0,0,0,1,0,0,1
41.0,3.897,56383.0,3.81,0,1,1,1,0,0,0,0,0,0,0,1,0,1
70.0,4.427,87035.0,4.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
28.0,4.469,126456.0,3.67,0,1,1,1,0,0,0,0,0,0,0,0,0,0
32.0,4.334,143101.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
33.0,4.043,59363.0,4.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
56.0,4.503,79066.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,1
18.0,3.954,76532.0,4.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
38.0,4.333,78328.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
12.0,4.145,76707.0,3.8,0,1,1,1,0,0,0,0,1,0,0,0,0,0
19.0,4.165,105250.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
32.0,4.195,57134.0,4.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0
24.0,4.567,62500.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
24.0,4.06,62516.0,3.56,0,1,1,1,0,0,0,0,1,0,0,0,0,1
24.0,4.659,99418.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
19.0,3.812,59281.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0.0,4.014,65015.0,3.79,0,1,1,1,0,0,0,0,1,0,0,0,0,1
29.0,4.369,89183.0,3.24,1,1,1,1,0,0,0,0,0,0,0,1,0,1
